개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,분류
스포츠파크 야구장,스포츠파크,야구장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,80000,60,0.2,1000,,"조명, 방송실",방문.전화,,충청북도 보은군 보은읍 군청길 71,충청북도 보은군 보은읍 성주리 34,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1717,36.48531614,127.732091,2021-03-23,보은군
스포츠파크 야구장,스포츠파크,다목적경기장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,80000,60,0.2,1000,,,방문.전화,,충청북도 보은군 보은읍 군청길 71,충청북도 보은군 보은읍 성주리 34,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1717,36.48419001,127.7327779,2021-03-23,보은군
씨름연습장,스포츠파크,기타,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,,,,20,,조명,방문.전화,,충청북도 보은군 보은읍 군청길 71,충청북도 보은군 보은읍 이평리 244,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1717,36.483111,127.729512,2021-03-23,보은군
실내연습장,스포츠파크,야구장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,,,,60,,조명,방문.전화,,충청북도 보은군 보은읍 군청길 71,충청북도 보은군 보은읍 이평리 244,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1717,36.482613,127.732411,2021-03-23,보은군
결초보은체육관,스포츠파크,체육관,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,17,100000,,,1000,,"방송실,체육시설,",방문.전화,,충청북도 보은군 보은읍 군청길 71,충청북도 보은군 보은읍 이평리 244,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1717,36.452714,127.731212,2021-03-23,보은군
음성종합운동장,음성종합운동장,다목적경기장,법정공휴일 (행사시 개방),9:00,22:00,9:00,22:00,Y,13,"75,000",1,15000,7000,65030,"축구장, 밸로드롬 등","방문, 전화",,충청북도 음성군 음성읍 설성로 47,충청북도 음성군 음성읍 읍내리 470,충청북도 음성군청,시설관리사업소,043-871-5910,-,36.93151195,127.6866487,2021-03-18,음성군
음성실내체육관,음성실내체육관,체육관,법정공휴일 (행사시 개방),9:00,22:00,9:00,22:00,Y,13,"70,000",1,14000,1700,14300,,"방문, 전화",,충청북도 음성군 음성읍 설성로 47,충청북도 음성군 음성읍 읍내리 470,충청북도 음성군청,시설관리사업소,043-871-5911,-,36.93151195,127.6866487,2021-03-18,음성군
금왕생활체육공원,금왕생활체육공원,다목적경기장,법정공휴일 (행사시 개방),9:00,22:00,9:00,22:00,Y,13,"45,000",1,9000,7000,81623,"축구장, 농구장, 풋살장 등","방문, 전화",,충청북도 음성군 금왕읍 무극로 370,충청북도 음성군 금왕읍 금석리 98,충청북도 음성군청,시설관리사업소,043-871-5912,-,36.99372848,127.6042954,2021-03-18,음성군
대소국민체육센터,대소국민체육센터,체육관,법정공휴일 (행사시 개방),9:00,22:00,9:00,22:00,Y,13,"70,000",1,14000,1700,12740,,"방문, 전화",,충청북도 음성군 대소면 대성로 39,충청북도 음성군 대소면 태생리 399-2,충청북도 음성군청,시설관리사업소,043-871-5916,-,36.97358664,127.4872584,2021-03-18,음성군
대소생활체육공원,대소생활체육공원,다목적경기장,법정공휴일 (행사시 개방),9:00,22:00,9:00,22:00,Y,13,"70,000",1,14000,1700,33532,"축구장, 족구장, 테니스장 등","방문, 전화",,충청북도 음성군 대소면 대성로 43,충청북도 음성군 대소면 태생리 390,충청북도 음성군청,시설관리사업소,043-871-5915,-,36.97529467,127.4876659,2021-03-18,음성군
삼성생활체육공원,삼성생활체육공원,다목적경기장,법정공휴일 (행사시 개방),9:00,22:00,9:00,22:00,Y,13,"70,000",1,14000,1700,15817,"축구장, 테니스장, 풋살장 등","방문, 전화",,충청북도 음성군 삼성면 금일로 992-34,충청북도 음성군 삼성면 덕정리 497-4,충청북도 음성군청,시설관리사업소,043-871-5917,-,37.02363147,127.4915804,2021-03-18,음성군
소이소규모생활체육공원,소이소규모생활체육공원,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,N,13,0,0,0,0,9138,"풋살장, 농구장 등",,,충청북도 음성군 소이면 한불로 544-7,충청북도 음성군 소이면 금고리 571,충청북도 음성군청,시설관리사업소,043-871-2483,-,36.91667683,127.7533396,2021-03-18,음성군
맹동소규모생활체육공원,맹동소규모생활체육공원,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,N,13,0,0,0,0,7517,"족구장, 그라운드골프장 등",,,충청북도 음성군 맹동면 덕금로 352-15,충청북도 음성군 맹동면 쌍정리 248-10,충청북도 음성군청,시설관리사업소,043-871-2483,-,36.92380101,127.5594258,2021-03-18,음성군
감곡생활체육공원,감곡생활체육공원,다목적경기장,법정공휴일 (행사시 개방),9:00,22:00,9:00,22:00,Y,13,"70,000",1,14000,3000,50051,"축구장, 테니스장, 풋살장 등","방문, 전화",,충청북도 음성군 감곡면 오향리 633-2,충청북도 음성군 감곡면 오향리 320,충청북도 음성군청,시설관리사업소,043-871-5919,-,,127.647051,2021-03-18,음성군
음성궁도장,음성 궁도장,기타,법정공휴일,9:00,22:00,9:00,22:00,N,13,0,0,0,0,11449,,,,충청북도 음성군 음성읍 용광로 327,충청북도 음성군 음성읍 용산리 725-1,충청북도 음성군청,시설관리사업소,043-871-2482,-,36.96669155,127.6783978,2021-03-18,음성군
음성그라운드골프장,음성그라운드골프장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,3022,,,,충청북도 음성군 음성읍 용광로 35-12,충청북도 음성군 음성읍 읍내리 817-253,충청북도 음성군청,시설관리사업소,043-871-2482,-,36.93960526,127.6869082,2021-03-18,음성군
음성전천후게이트볼장,음성전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,2938,,,,충청북도 음성군 음성읍 수정로 36,충청북도 음성군 음성읍 읍내리 817-35,충청북도 음성군청,시설관리사업소,043-871-2482,-,36.93420893,127.6903844,2021-03-18,음성군
덕생전천후게이트볼장,덕생전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,2157,,,,충청북도 음성군 음성읍 덕생로 495-5,충청북도 음성군 음성읍 삼생리 90-2,충청북도 음성군청,시설관리사업소,043-871-2482,-,36.91454224,127.6226368,2021-03-18,음성군
금왕전천후게이트볼장,금왕전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,4969,,,,충청북도 음성군 금왕읍 백야로45번길 21,충청북도 음성군 금왕읍 금석리 431-47,충청북도 음성군청,시설관리사업소,043-871-2482,-,36.98758422,127.5981489,2021-03-18,음성군
소이전천후게이트볼장,소이전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,3066,,,,충청북도 음성군 소이면 소이로 410,충청북도 음성군 소이면 대장리 142-6,충청북도 음성군청,시설관리사업소,043-871-2483,-,36.92285398,127.7571751,2021-03-18,음성군
원남전천후게이트볼장,원남전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,1971,,,,충청북도 음성군 원남면 보천로65번길 18,충청북도 음성군 원남면 보룡리 396,충청북도 음성군청,시설관리사업소,043-871-2484,-,36.87816541,127.6549679,2021-03-18,음성군
맹동전천후게이트볼장,맹동전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,2549,,,,충청북도 음성군 맹동면 덕금로 396-1,충청북도 음성군 맹동면 쌍정리 96-6,충청북도 음성군청,시설관리사업소,043-871-2483,-,36.92631285,127.5642955,2021-03-18,음성군
대소전천후게이트볼장,대소전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,15707,,,,충청북도 음성군 대소면 오태로 57-16,충청북도 음성군 대소면 오류리 70-3,충청북도 음성군청,시설관리사업소,043-871-2484,-,36.97193875,127.4835109,2021-03-18,음성군
삼성전천후게이트볼장,삼성전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,2398,,,,충청북도 음성군 삼성면 덕호로 24-8,충청북도 음성군 삼성면 덕정리 402,충청북도 음성군청,시설관리사업소,043-871-2484,-,37.02306682,127.5017724,2021-03-18,음성군
생극전천후게이트볼장,생극전천후게이트볼장,기타,연중무휴,9:00,22:00,9:00,22:00,N,16,0,0,0,0,3029,,,,충청북도 음성군 생극면 음성로 1642-10,충청북도 음성군 생극면 신양리 374-15,충청북도 음성군청,시설관리사업소,043-871-2482,-,37.03468811,127.6078868,2021-03-18,음성군
무극전적 국민관광지,무극전적 국민관광지,전시실,매주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,N,9,0,0,0,0,13943,,,,충청북도 음성군 음성읍 생음대로 594,충청북도 음성군 음성읍 소여리 897,충청북도 음성군청,시설관리사업소,043-871-5930,-,36.95068328,127.6470132,2021-03-18,음성군
제천테니스장,제천테니스장,테니스장,연중무휴,9:00,22:00,9:00,22:00,N,,,,,2000,32397,"휴게시설 1동, 휴게공원 1식, 주차장 1식",방문+전화,,충청북도 제천시 북부로 1860,충청북도 제천시 신동 565번지,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.123019,128.1723422,2021-03-15,제천시
제천정구장,제천정구장,기타,연중무휴,9:00,22:00,9:00,22:00,N,,,,,300,1200,"야간조명시설 4조 80등, 화장실",방문+전화,,충청북도 제천시 숭의로 85,충청북도 제천시 화산동 128-1,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.130876,128.215999,2021-03-15,제천시
궁도장,궁도장,기타,연중무휴,9:00,22:00,9:00,22:00,N,,,,,200,11053,"사무실, 회의실, 화장실, 주차장 1식",방문+전화,,충청북도 제천시 세명로 21,충청북도 제천시 모산동 110,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.180072,128.204461,2021-03-15,제천시
봉양건강축구캠프장,봉양건강축구캠프장,축구장,연중무휴,6:00,22:00,6:00,22:00,Y,3,"(평일)30,000+(주말)40,000",3,,3000,100139,"숙소 20실, 다목적회의실, 사무실, 체력단련실, 식당, 풋살장 2면관람석, 주차장",방문+전화,,충청북도 제천시 팔송로 77,충청북도 제천시 봉양읍 연박리 967,제천시 시설관리사업소,제천시 시설관리사업소,043-648-7330,https://jcfmc.jecheon.go.kr,37.137905,128.112701,2021-03-15,제천시
제천족구장,제천족구장,족구장,연중무휴,6:00,22:00,6:00,22:00,N,,,,,1000,6279,야외족구장 1면,방문+전화,,충청북도 제천시 세명로 23,충청북도 제천시 모산동 110,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.180043,128.205418,2021-03-15,제천시
전천후게이트볼장,전천후게이트볼장,기타,연중무휴,9:00,18:00,9:00,18:00,N,,,,,50,3892,야외잔디구장,방문+전화,,충청북도 제천시 청전대로 13,충청북도제천시 청전동 519-1,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.145528,128.201238,2021-03-15,제천시
제천체육관 게이트볼장,제천체육관 게이트볼장,기타,연중무휴,9:00,18:00,9:00,18:00,N,,,,,300,4000,휴게실 2동,방문+전화,,충청북도 제천시 숭의로 85,충청북도 제천시 화산동 128-1,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.130876,128.215999,2021-03-15,제천시
청풍공설운동장,청풍공설운동장,축구장,연중무휴,9:00,18:00,9:00,18:00,Y,8,"(평일)40,000+(주말)60,000",8,,1000,31340,무대 1식,"인터넷, 방문",,충청북도 제천시 청풍면 문화재길 160,충청북도 제천시 청풍면 물태리 103,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.003387,128.167871,2021-03-15,제천시
산악자전거경기장,산악자전거경기장,기타,연중무휴,9:00,18:00,9:00,18:00,Y,2,"(평일)60,000+(주말)80,000",2,,1000,37000,"XC경기장 6.2km, DH경기장 1.7km, 사무실, 화장실","인터넷, 방문",,-,충청북도 제천시 송학면 도화리 산2-3번지 일원,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.193835,128.192401,2021-03-15,제천시
제천체육관,제천체육관,체육관,공휴일,6:00,22:00,6:00,22:00,Y,8,"(평일)40,000+(주말)60,000",8,,3300,59138,"전광판, 방송설비, 조명시설, 주차장","인터넷, 방문",,충청북도 제천시 숭의로 85,충청북도 제천시 화산동 128-1,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.130876,128.215999,2021-03-15,제천시
제천배드민턴체육관,제천배드민턴체육관,기타,연중무휴,6:00,22:00,6:00,22:00,N,,,,,3300,9500,주차장,방문+전화,,충청북도 제천시 청전대로 13,충청북도 제천시 청전동 482-18,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.145528,128.201238,2021-03-15,제천시
청풍명월국제하키장,청풍명월국제하키장,기타,공휴일,9:00,18:00,9:00,18:00,Y,3,"(평일)40,000+(주말)80,000",3,,1000,31340,"휴게실, 샤워실, 화장실, 체력단련실","인터넷, 방문",,충청북도 제천시 청풍면 문화재길 160,충청북도 제천시 청풍면 물태리 103,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.003387,128.167871,2021-03-15,제천시
고암생활체육공원,고암생활체육공원,다목적경기장,연중무휴,0:00,0:00,0:00,0:00,N,,,,,1000,17768,"테니스장2면, 인라인스케이트장 1면, 배구장 및 족구장 2면, 풋살경기장 1면, 음수대 1개, 팔각정 3개소",방문+전화,,충청북도 제천시 제천북로 18길,충청북도 제천시 고암동 1135,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.053863,128.160461,2021-03-15,제천시
신백생활체육공원,신백생활체육공원,다목적경기장,연중무휴,0:00,0:00,0:00,0:00,N,,,,,1000,22181,"족구장 2면, 풋살구장 1면, 테니스장 2면, 배드민턴장 1면, 우레탄트랙 250m, 야외음악무대 1식",방문+전화,,충청북도 제천시 관전로 54,충청북도 제천시 신백동 194-2,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.129672,128.228792,2021-03-15,제천시
장락생활체육공원,장락생활체육공원,다목적경기장,연중무휴,0:00,0:00,0:00,0:00,N,,,,,1000,25727,"풋살장 1면, 족구장 1면, 인라인장 1면, 다목적구장 1면, 게이트볼장 1면, 야외무대 1식, 어린이놀이시설 1식, 산책로 1식, 화장실 2동, 주차장 3식(100대)",방문+전화,,충청북도 제천시 내제로 317,충청북도 제천시 장락동 672-3,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.146421,128.221116,2021-03-15,제천시
하소생활체육공원,하소생활체육공원,다목적경기장,연중무휴,0:00,0:00,0:00,0:00,N,,,,,1000,16085,"다목적 구장 1면, 배드민턴장 2면, 족구장 2면, 테니스장 2면, 게이트볼장 1면, 농구장 1면, 인라인트랙 50m, 화장실 2개소",방문+전화,,충청북도 제천시 원뜰로 147,충청북도 제천시 하소동 271,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.143006,128.195411,2021-03-15,제천시
제천종합운동장,제천종합운동장,축구장,공휴일,6:00,18:00,6:00,18:00,Y,2,"(평일)80,000+(주말)100,000",2,,3300,59138,"전광판, 방송설비, 조명시설, 주차장","인터넷, 방문",,충청북도 제천시 숭의로 101,충청북도 제천시 화산동 1,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.129829,128.217279,2021-03-15,제천시
제천종합운동장,제천종합운동장,기타,공휴일,6:00,18:00,6:00,18:00,Y,8,"(평일)40,000+(주말)50,000",8,,3300,59138,"전광판, 방송설비, 조명시설, 주차장","인터넷, 방문",,충청북도 제천시 숭의로 101,충청북도 제천시 화산동 1,제천시 시설관리사업소,제천시 시설관리사업소,043-641-5597,https://jcfmc.jecheon.go.kr,37.129829,128.217279,2021-03-15,제천시
제천올림픽스포츠센터,제천올림픽스포츠센터,기타,"매주 일요일, 공휴일",6:00,22:00,0:00,0:00,Y,,"수영45,000원/월헬스40,000원/월라인댄스60,000원/월스쿼시60,000원/월아쿠아로빅60,000원/월골프70,000원/월복싱44,000원/월건강체조35,000원/월",,,2720,5002,"매점, 의류소매점",인터넷+방문,,충청북도 제천시 숭의로 85,충청북도 제천시 화산동 128-1,제천시 시설관리사업소,제천시 시설관리사업소,043-651-8855,https://opsports.jecheon.go.kr,37.130876,128.215999,2021-03-15,제천시
제천어울림체육센터,제천어울림체육센터,체육관,"매주 월요일, 공휴일",7:00,20:00,8:00,16:00,Y,2,"3,000",2,,500,1477.82,"빔프로젝트1,의자200,책상10,전광판1,음향시설1",방문,,충청북도 제천시 관전로 70,충청북도 제천시 신백동 193-1,제천시 시설관리사업소,제천시 시설관리사업소,043-653-9993,https://jcfmc.jecheon.go.kr,37.130652,128.229932,2021-03-15,제천시
제천어울림체육센터,제천어울림체육센터,기타,"매주 월.토.일, 공휴일",7:00,20:00,8:00,16:00,Y,1,"5,000",1,,1,68.62,"수중리프트,부력기구 6종",방문,,충청북도 제천시 관전로 70,충청북도 제천시 신백동 193-1,제천시 시설관리사업소,제천시 시설관리사업소,043-653-9993,https://jcfmc.jecheon.go.kr,37.130652,128.229932,2021-03-15,제천시
제천어울림체육센터,제천어울림체육센터,기타,"매주 일.월, 공휴일",7:00,20:00,8:00,16:00,Y,2,"2,000",2,,10,214.31,"수중자전거,부력기구 6종",방문,,충청북도 제천시 관전로 70,충청북도 제천시 신백동 193-1,제천시 시설관리사업소,제천시 시설관리사업소,043-653-9993,https://jcfmc.jecheon.go.kr,37.130652,128.229932,2021-03-15,제천시
제천어울림체육센터,제천어울림체육센터,기타,"매주 월요일, 공휴일",7:00,20:00,8:00,16:00,Y,2,"2,500",2,,20,215.57,헬스장비,방문,,충청북도 제천시 관전로 70,충청북도 제천시 신백동 193-1,제천시 시설관리사업소,제천시 시설관리사업소,043-659-9993,https://jcfmc.jecheon.go.kr,37.130652,128.229932,2021-03-15,제천시
단양공설운동장,단양공설운동장,다목적경기장,연중무휴,9:00,18:00,9:00,18:00,N,,대관사용료,,,3000,,없음,사용신청서작성,,충청북도 단양군 단양읍 별곡6길 26,,충청북도 단양군청,문화체육과(체육팀),043-420-3105,,36.9877883,128.3668,2021-03-18,단양군
단성생활체육공원,단성생활체육공원,다목적경기장,연중무휴,9:00,18:00,9:00,18:00,N,,,,,100,,,,,,충청북도 단양군 단성면 하방리 162-2,충청북도 단양군청,,,,36.938661,128.319778,2021-03-18,단양군
대강생활체육공원,대강생활체육공원,다목적경기장,연중무휴,9:00,18:00,9:00,18:00,N,,,,,100,,,,,충청북도 단양군 대강면 사인암로 760-9,,충청북도 단양군청,,,,36.91970367,128.3570598,2021-03-18,단양군
매포생활체육공원,매포생활체육공원,다목적경기장,연중무휴,9:00,18:00,9:00,18:00,N,,,,,150,,,,,충청북도 단양군 매포읍 평동4로 77,,충청북도 단양군청,,,,37.031474,128.294426,2021-03-18,단양군
별곡지구 생활체육공원,별곡지구 생활체육공원,다목적경기장,연중무휴,9:00,18:00,9:00,18:00,N,,,,,100,,,,,,충청북도 단양군 단양읍 별곡리 117,충청북도 단양군청,,,,36.991918,128.362335,2021-03-18,단양군
적성체육공원,적성체육공원,다목적경기장,연중무휴,9:00,18:00,9:00,18:00,N,,,,,100,,,,,충청북도 단양군 적성면 적성로 232-20,,충청북도 단양군청,,,,37.022326,128.285531,2021-03-18,단양군
덕산읍사무소 대회의실,덕산읍사무소,회의실,"매주 토,일요일",9:00,21:00,0:00,0:00,N,,0,,,200,307,책상20개+의자150개,방문,,충청북도 진천군 덕산읍 덕금로 829,충청북도 진천군 덕산읍 용몽리 637,덕산읍,총무팀,043-539-8403,http://www.jincheon.go.kr/home/sub.do?menukey=314,36.91366434,127.5090894,2021-03-09,진천군
덕산혁신도시출장소 대회의실,덕산혁신도시출장소,회의실,"공휴일, 매주 토,일요일",9:00,18:00,0:00,0:00,N,,0,,,150,273.6,책상20개+의자120개,"방문,전화",,충청북도 진천군 덕산읍 연미로 27,충청북도 진천군 덕산읍 두촌리 2849,덕산읍,총무팀,043-539-8403,http://www.jincheon.go.kr/home/sub.do?menukey=314,36.89885882,127.529346,2021-03-09,진천군
초평면사무소 회의실,초평면사무소,회의실,"공휴일, 매주 토ㆍ일요일",9:00,18:00,0:00,0:00,N,,,,,130,188.43,"빔프로젝트 1대, 책상 14개, 의자 140개, 마이크 3개",방문,,충청북도 진천군 초평면 초동로 45-6,충청북도 진천군 초평면 용정리 584-8,초평면,총무팀,043-539-8463,,36.84566246,127.526406,2021-03-09,진천군
초평면사무소 탁구장,초평면사무소,기타,"공휴일, 매주 토ㆍ일요일",9:00,21:00,9:00,18:00,N,,,,,20,181.82,"탁구대 4대, 자동연습기 1대, 탁구공",방문,,충청북도 진천군 초평면 초동로 45-6,충청북도 진천군 초평면 용정리 584-8,초평면,총무팀,043-539-8463,,36.84568732,127.5263866,2021-03-09,진천군
초평면사무소 건강관리실,초평면사무소,기타,"공휴일, 매주 토ㆍ일요일",9:00,21:00,9:00,18:00,N,,,,,10,42.98,"러닝머신 3대, 사이클 3대, 종합운동기구 3대, 안마기 1대, 찜질기 1대",방문,,충청북도 진천군 초평면 초동로 45-6,충청북도 진천군 초평면 용정리 584-8,초평면,총무팀,043-539-8463,,36.84568045,127.5264117,2021-03-09,진천군
문백면사무소 체력단련실,문백면사무소,기타,연중무휴,9:00,21:00,9:00,18:00,N,,0,,,10,148,"런닝머신, 고정식 자전거 등",방문.전화,,충청북도 진천군 문백면 옥성1길 21,충청북도 진천군 문백면 옥성리 312-1,문백면,총무팀,043-539-8523,,36.78420623,127.4371584,2021-03-09,진천군
문백면사무소 다목적실,문백면사무소,다목적실,연중무휴,9:00,21:00,9:00,18:00,N,,0,,,30,134,"TV, 노래방기계 등",방문.전화,,충청북도 진천군 문백면 옥성1길 21,충청북도 진천군 문백면 옥성리 312-1,문백면,총무팀,043-539-8523,,36.78423092,127.437181,2021-03-09,진천군
문백면사무소 소회의실,문백면사무소,회의실,연중무휴,9:00,21:00,9:00,18:00,N,,0,,,40,121,"탁자, 의자, 빔프로젝트 등",방문.전화,,충청북도 진천군 문백면 옥성1길 21,충청북도 진천군 문백면 옥성리 312-1,문백면,총무팀,043-539-8523,,36.78427139,127.4372036,2021-03-09,진천군
